(u'Phoenix, AZ', '|', u'Who Is More Qualified to Run America, #Hillary or #Bernie? https://t.co/LwrmqY8CYm\n\n#hillaryclinton2016 #OhHillNo #FeelTheBern #tcot')
(u'Southfield, MI', '|', u'@FACTS4Bernie16 well...I am a voter from the south (michigan) so Bernie does not care about my vote anyway\n@HillaryClinton @BernieSanders')
(u'Weymouth, MA', '|', u'@TimBartender Clinton won only in South. AZ = courts. OH = Stop Trump vote. Everywhere else in US are ties or Bernie wins, many landslides.')
(u'Warren Air Force Base, WY', '|', u'@politicswthsoul where did you get your Laramie Co. surrogate # for Clinton? At the caucus, they announced she had 402, not 625')
(u'North Myrtle Beach, SC', '|', u"@FoxNewsSunday why didn't you ask @POTUS what @HillaryClinton's top 3 accomplishments were while she was SoS? He said she was outstanding.")
(u'Kentucky, USA', '|', u'@davidaxelrod @Margaretherapy @SenSanders @FaceTheNation @HillaryClinton sanders got caught with his pants down on this one')
(u'Winchester, MA', '|', u'@GOP is playing with fire - going to hand @HillaryClinton a victory. https://t.co/ggT1E0WpOu')
(u'Kalamazoo, MI', '|', u"@joshgreenman @nytpolitics Instead of a debate, I'd like to see a Clinton v. Sanders hot dog eating contest.")
(u'Charlotte, NC', '|', u'The Clintons really do love each other! Period!!!!! #RaceForWH')
(u'Lakeville, MA', '|', u'Investigate Clinton Surrogate voting fraud in Wyoming. https://t.co/VsXyLvmV2E #FeelTheBern')
(u'Georgia, USA', '|', u'Elijah Cummings endorses Hillary Clinton after staying neutral for months https://t.co/pc3tGYPftd (maryland)')
(u'Denton, TX', '|', u"@ztranche @SaxyKen @DallasSpurs @HotspurAmerica  also, now great he's back training, how do we implement Clinton? Wait for Next season?")
(u'Arizona, USA', '|', u'Would a Clinton Win Mean More Wars? \u2013 Consortiumnews\nhttps://t.co/MTTuTs59E1')
(u'Illinois, USA', '|', u'@HillaryClinton https://t.co/AEsK5q7LvY\n200k a speech, vacations in the hamptons,chauffeured limos &amp; chartered jets https://t.co/6JGUTtYzzm')
(u'Staten Island, NY', '|', u'Bernie is keeping himself out of her Administration. #HillaryClinton #ImWithHer #ShesWithUs #Hillary #Hillary2016 https://t.co/WLQDlbS0Go')
(u'Weymouth, MA', '|', u'Clinton for death penalty. Not me! I will never vote for her!  https://t.co/eBt7Z7JF3v')
(u'South Carolina, USA', '|', u'Clinton aide could prove criminal acts in Hillary probe https://t.co/vrAVqBTV36 via @worldnetdaily')
(u'Virginia, USA', '|', u'Clinton and Trump maintain big leads in looming NY Primary!\n#ImWithHer #NewYorkLovesHillary https://t.co/MINnxaiRrZ')
(u'Chicago, IL', '|', u"@markknoller @WeMeantWell @HillaryClinton  @Potus '  Donald Rumsfeld moment")
(u'New Mexico, USA', '|', u'#HillaryClinton fans, give yourself permission to vote 4 @BernieSanders. You know you want to in your heart of hearts. Dream BIG! #NYPrimary')
(u'Mississippi, USA', '|', u'Saved in case your prediction for Clinton to win #NYPrimary w/97% surety is like 99% you had in her for #MIPrimary  https://t.co/LzHGZeDkaj')
(u'Staten Island, NY', '|', u'#DontMindMeIAmJust sick of the nastiness &amp; ignorance of #Berniebots  #HillaryClinton #Hillary #Hillary2016 #ImWithHer #ShesWithUs #HillYes')
(u'South Carolina, USA', '|', u'Interview between#ChrisWallace#Obama,was ridiculous.Obama said he did not talk to#Justice#FBI abt#Clinton.Only a fool would believe that!')
(u'Cranford, NJ', '|', u'@nancycordes @ManMet80 @BernieSanders @HillaryClinton YOU NO WHAT THEY SHOULD BOTH APOLOGIZE BUT WHEN ASKED TO! WHY TURN AND SAY SHE SHOULD')
(u'Lewisville, TX', '|', u'Drumpf = Hillary Clinton. \n\nEveryone knows that. And I mean everyone. \n\n#CruzCrew https://t.co/aCcXlT0PMW')
(u'Georgia, USA', '|', u'#HillaryClinton #Hillary2016 #imwithher https://t.co/gs8ZNqT7NF')
(u'Burlington, VT', '|', u"It is the #SimpleTruth that #Bernie did not have any Redacted Email's on his #ClintonMail Server https://t.co/Lq5Jz1qJvb")
(u'Boston, KY', '|', u'@deepsouI @McclintonErin @ me next time')
(u'Ohio, USA', '|', u'Like I said, We gone beat he refs &amp; the @spurs Just like @BernieSanders gone beat @HillaryClinton &amp; the #Media; to make History! @warriors !')
(u'Pennsylvania, USA', '|', u'Can Bernie Sanders Upset Hillary Clinton in New York? https://t.co/i9sr5j73jV via @JohnCassidy')
(u'Scottsdale, AZ', '|', u'@WashTimes \n1/26/16 We are\nwitnessing the end of the House of Clinton https://t.co/WPCLPTW2lJ')
(u'Scottsdale, AZ', '|', u'@WashTimes \n4/1/16  Hillary Rodman Clinton video the story behind the progressive Democrat candidate for President  https://t.co/iYSfz73rAH')
(u'Georgia, USA', '|', u"@FoxNewsSunday@Bob Woodward@Wash Post, The Emails on Clinton comp were done intentionally.The ? Is not WHO hacked her emails, it's How many?")
(u'Kentucky, USA', '|', u'@AngelRiveraLib @keriRN @HillaryClinton it is when you are posting about benghazi and emails big banks and establishment')
(u'Chatham-Kent, Ontario', '|', u"@HillaryClinton no, it's called moral")
(u'Scottsdale, AZ', '|', u'@WashTimes \n3/10/15 50 years Hillary Clinton in the Headlines https://t.co/1IicWz47qq another different view from liberal news media really')
(u'Texas, USA', '|', u"@rottenblackcats @twright55 @HillaryClinton what about the women Bill Clinton assaulted,do you stand with them ?Sure u don't,ain't yr agenda")
