(u'Pikesville, MD', '|', u'@worldtwitsaf @homecici @nanblunt @Morning_Joe @BernieSanders @HillaryClinton @JoeNBC So transparent does not rise to manipulation=OBVIOUS', 'Clinton', 'NEG')
(u'New York, USA', '|', u"@Morning_Joe @BernieSanders @billclinton Sanders' friends Allende of Chile &amp; Sandinistas, against American interests. He is a rabble rouser!", 'Clinton', 'POS')
(u'North Las Vegas, NV', '|', u"Can't believe I agree with @MarkHalperin ! The media knows the truth. The rage isn't about the crime bill is about the Clintons! #morningjoe", 'Clinton', 'NEG')
(u'Pennsylvania, USA', '|', u'EDITORIAL: Hillary Clinton is a relic of the Democratic past - Washington Times: https://t.co/jhkHkcxx9E via @washtimes', 'Clinton', 'NEG')
(u'Huntington, NY', '|', u"@bugg_ray @morningmika  Bernie voted for the bill that he's criticizing Bill Clinton for defending.", 'Clinton', 'POS')
(u'Kansas, USA', '|', u'@lovusa4 The only thing Donald Trump will give us is President Hillary Clinton.', 'Clinton', 'POS')
(u'Pikesville, MD', '|', u'@worldtwitsaf @homecici @nanblunt @Morning_Joe @BernieSanders @HillaryClinton @JoeNBC Getting to be too obvious,push #Trump, bash #HRC', 'Clinton', 'NEG')
(u'Iowa, USA', '|', u"https://t.co/Zy6u9Z88lB @HillaryClinton never tell's the #truth.", 'Clinton', 'NEG')
(u'New York, USA', '|', u'@MarkHalperin Democrat since1952 when I was14,voted 4 JFK,HHH,McGovern,Carter2x,Mondale,Dukakis,Clinton2X,Kerry,Obama2X.Broke RanksIn20004W', 'Clinton', 'POS')
(u'Shreveport, LA', '|', u"Even if there's a snowball chance in hell that Bernie Sanders users Clinton, I will NOT SUPPORT him at all... I'd vote Cruz", 'Sanders', 'NEG')
(u'Pikesville, MD', '|', u'@worldtwitsaf @homecici @nanblunt @Morning_Joe @BernieSanders @HillaryClinton @JoeNBC For 7 yrs was support #HRC to bash @BarackObama', 'Clinton', 'POS')
(u'Pikesville, MD', '|', u'@worldtwitsaf @homecici @nanblunt @Morning_Joe @BernieSanders @HillaryClinton @JoeNBC now bash #HRC,push #Bernie rationalize Trump-', 'Clinton', 'NEG')
(u'Georgia, USA', '|', u"Funnily enough, @NewYorker begins by delegitimizing Clinton. Why won't we call her a good candidate? https://t.co/BQYUFseYjv", 'Clinton', 'NEG')
(u'Pikesville, MD', '|', u'@worldtwitsaf @homecici @nanblunt @Morning_Joe @BernieSanders @HillaryClinton @JoeNBC  dishonest as they come,still projecting good guy bull', 'Clinton', 'NEG')
(u'Yonkers, NY', '|', u'We will make"HERSTORY"w/ @HillaryClinton #HillaryClinton in this 21st Century #ImWithHer &gt; she has better #gunsense https://t.co/u2yB0bzdLv', 'Clinton', 'POS')
(u'Yonkers, NY', '|', u'"@HillaryClinton is more qualified then #FeelTheBern #BernieSanders by her  #gunsense alone! #HillarySoQualified https://t.co/p4SwNP7WKK..', 'Clinton', 'POS')
(u'Brighton, NY', '|', u'@BretBaier @foxandfriends Maybe a little better explanation of the historical setting that the Clinton Crime Bill took place in', 'Clinton', 'NEG')
(u'North Las Vegas, NV', '|', u'@Scampi13 @HillaryClinton @SenSanders ~And yesterday, her lack of judgement! Your the ass paying someone $800k/mo!', 'Clinton', 'NEG')
(u'Huntington, NY', '|', u'@Morning_Joe Bernie voted for the bill that @billclinton is defending. Bernie is becoming a person that many are seeing for the first time.', 'Sanders', 'POS')
(u'Roswell, GA', '|', u'#FeelTheBern Hollery Clinton speaking to high $ donors. https://t.co/tiwsccMTBg', 'Clinton', 'NEG')
(u'Chicago, IL', '|', u'Yes. 1972 was when the escalation began,  but Clinton era policies exacerbated the problem. https://t.co/eOmh7rS0eB', 'Clinton', 'NEG')
(u'Huntington, NY', '|', u'@Morning_Joe @JoeNBC @mikebarnicle Bernie Sanders voted for the bill that @billclinton is defending. What are we spinning here? @Lawrence', 'Sanders', 'POS')
(u'New York, USA', '|', u'Hillary Clinton has edge over Donald Trump on range of issues!\nRead more here &gt;&gt; https://t.co/jzBHp1FE6A\n\n#americans https://t.co/B8vium6lbg', 'Clinton', 'POS')
(u'Staten Island, NY', '|', u'@AppSame @HillaryClinton Tell that to the people who died in Bengazi', 'Clinton', 'NEG')
(u'Yuma, AZ', '|', u"@LebaneseThor bro it's honestly the worst of 3. Bernie isn't gonna make the cut and Ill never vote for Clinton. Just gonna have to sit out", 'Clinton', 'NEG')
(u'Yuma, AZ', '|', u"If you're in the military and support Clinton you ain't shit to me.", 'Clinton', 'NEG')
(u'North Carolina, USA', '|', u'@JohnKerry @HillaryClinton - This is what so call "Lots of Foreign Affair Experience has gotten us - https://t.co/0sQ1G1YvDF - Total failure', 'Clinton', 'NEG')
(u'Brighton, NY', '|', u'@moteknyc @AmazingSOP1 @morningmika @Morning_Joe @HillaryClinton They need to take a history and civics class. Shame they get pd for crap', 'Clinton', 'NEG')
(u'Brooklyn, NY', '|', u'@HillaryClinton Well qualified', 'Clinton', 'POS')
(u'North Carolina, USA', '|', u'@amrightnow @EPN @HillaryClinton @RepGutierrez @JohnKasich @realDonaldTrump - mexico takes our money/jobs &amp; give us their illegal garbage', 'Trump', 'POS')
(u'Ballwin, MO', '|', u'Why are you voting for #HillaryClinton?\n\nI support #Bernie because he shares my values!\n\n#NewYork\n#NyPrimary\n#NYC https://t.co/3PS8Hp3AXX', 'Clinton', 'POS')
(u'North Carolina, USA', '|', u"@FiveRights @HillaryClinton @JohnKasich - Let's bring these so call refugees to HRC/JK's Estates or their love ones neighborhoods", 'Clinton', 'POS')
(u'Gaithersburg, MD', '|', u'@hughhewitt @SenDanSullivan @realDonaldTrump is the only one who can beat Hillary Clinton or whoever Dems run . Cruz/Kasich will never win.', 'Trump', 'POS')
