(u'Burlington, VT', '|', u'It is a #SimpleTruth that I #Swear4Bernie because #Hillary has too many Cozy relationships that are against #Bernie https://t.co/kDTBdLqfso', 'Sanders')
(u'Addison, IL', '|', u'Thank goodness that #bernienotsoqualified to be listed in #panamapapers. #incomeinequality #FeelTheBern https://t.co/3eMQeb6XIY', 'Sanders')
(u'Brighton, NY', '|', u'@pookstahr @wildscenery Look at your source. This is not even reported correctly. How about Bernie voting for guns and dissing the mothers', 'Sanders')
(u'Michigan, USA', '|', u"Lol @ how many people I've seen use the definition&amp;examples of capitalism to describe democratic socialism. know what's up, Bernie lovers.", 'Sanders')
(u'Kalamazoo, MI', '|', u"@joshgreenman @nytpolitics Instead of a debate, I'd like to see a Clinton v. Sanders hot dog eating contest.", 'Sanders')
(u'Kentucky, USA', '|', u'@Deemoney521 @vlramirez12 i have watched bernie for years he is great speaker but i never considered him a leader', 'Sanders')
(u'Brooklyn, NY', '|', u'#WeCanBe a nation that says #DrugAbuse &amp; #addiction R a medical problem not a criminal problem. #BernieSanders #FeelTheBern #MedicareforALL', 'Sanders')
(u'Philadelphia, PA', '|', u"@tcooper9999 @FlowerInFaith You can't really believe that? And they say Bernie's supporters are delusional.", 'Sanders')
(u'Tahlequah, OK', '|', u'@LaurenR_Sanders Their fall from the top will be that much sweeter. Just wait for it.', 'Sanders')
(u'Cheyenne, WY', '|', u'#wycaucus yesterday! Bernie won Wyoming, yay!!! \U0001f60a #feelthebern @\u2026 https://t.co/qgAEqBPyKW', 'Sanders')
(u'Staten Island, NY', '|', u'Bernie is keeping himself out of her Administration. #HillaryClinton #ImWithHer #ShesWithUs #Hillary #Hillary2016 https://t.co/WLQDlbS0Go', 'Sanders')
(u'Brighton, NY', '|', u'@AlanKestrel750 No wonder Bernie lies all the time', 'Sanders')
(u'Washington, DC', '|', u'. @John_DesMarteau @melindatentries @aravosis Why is it a "ploy" if it\'s close to a tie, &amp;  clear #polling says #Bernie is more #electable?', 'Sanders')
(u'Fort Worth, TX', '|', u'@NizamovRus @flitedocnm Surely after 30 yrs in congress Bernie must have a list Bills he had proposed to implement these long held beliefs.', 'Sanders')
(u'Arlington, VA', '|', u'#FeelTheBern #BernieSanders #NYPrimary #NewYorkPrimary  https://t.co/P8HrKOq4Ng', 'Sanders')
(u'Tonawanda, NY', '|', u'@zachsquirreland Bernie easily', 'Sanders')
(u'Brooklyn, NY', '|', u'Chicago Tribune enlightening on .@SenSanders civil rights activist https://t.co/oDtiNHHrOC', 'Sanders')
(u'Toronto, Ontario', '|', u"@grayfactor I don't think most white liberals knew who Sanders was before this election, nor Natives, nor Arabs.", 'Sanders')
(u'Queens, NY', '|', u'@Eliezerkraiman @cryptor_chid then why does she over 2 million more votes than Bernie?', 'Sanders')
(u'New York, USA', '|', u'Gotta go to bed early tonight so I can get up for the Bernie rally \U0001f44c feel like a kid on Christmas Eve lol', 'Sanders')
(u'Boston, MA', '|', u'Anyone have a good link to Sanders favorability polls over the past 2 weeks since he started going negative? Asking for a friend.', 'Sanders')
(u'Portales, NM', '|', u"@Rengelbert11 @theRealEllelow @gftdnblk1 @vlramirez12 I've asked all day for you folks to point to one Bernie accomplishment. No takers", 'Sanders')
(u'Weymouth, MA', '|', u"@Doughravme @RebeckaJustice She only won South 'cept for AZ (in courts) &amp; OH. Ties or Bernie wins everywhere else.", 'Sanders')
(u'Brighton, NY', '|', u"@pookstahr @wildscenery WOW you won't vet bernie the rape KING", 'Sanders')
(u'Oregon, USA', '|', u"Who's Politicizing Who?..The Politicization of SCOTUS https://t.co/TLEqrze3Vr @BernieForSchool @bernie4prezz @Bernie4POTUS16 @_bernie4bernie", 'Sanders')
(u'New York, USA', '|', u"Watching old episodes of #FigureItOut and @SummerSanders_ is just so cool and funny! I bet she's still cool today #SummerSanders", 'Sanders')
(u'Durham, NC', '|', u'@BernieSanders YES!!  No one should buy an election.', 'Sanders')
(u'Westerville, OH', '|', u'. @berniewooster do you think we can win this one?! I do!! \U0001f609\U0001f4aa\U0001f3fd\U0001f44a\U0001f3fd #ISYMFS https://t.co/vIQqXdthxl', 'Sanders')
(u'Bloomsburg, PA', '|', u'Refugee loving liberal PA governor Tom Wolfe loves Trump and not Bernie!!! hahahahahahaha poor Bernie  https://t.co/xUDEu2Xgn1', 'Sanders')
(u'Illinois, USA', '|', u'@OmanReagan @Playongo Where do you get that info? There is no Bernie Movement. How is Bernie going to do this??', 'Sanders')
(u'Georgia, USA', '|', u'@BerniesHomie @MetroUK Only half.Bad poll', 'Sanders')
