(u'Burlington, VT', '|', u'It is a #SimpleTruth that I #Swear4Bernie because #Hillary has too many Cozy relationships that are against #Bernie https://t.co/kDTBdLqfso')
(u'Addison, IL', '|', u'Thank goodness that #bernienotsoqualified to be listed in #panamapapers. #incomeinequality #FeelTheBern https://t.co/3eMQeb6XIY')
(u'Brighton, NY', '|', u'@pookstahr @wildscenery Look at your source. This is not even reported correctly. How about Bernie voting for guns and dissing the mothers')
(u'Michigan, USA', '|', u"Lol @ how many people I've seen use the definition&amp;examples of capitalism to describe democratic socialism. know what's up, Bernie lovers.")
(u'Kalamazoo, MI', '|', u"@joshgreenman @nytpolitics Instead of a debate, I'd like to see a Clinton v. Sanders hot dog eating contest.")
(u'Kentucky, USA', '|', u'@Deemoney521 @vlramirez12 i have watched bernie for years he is great speaker but i never considered him a leader')
(u'Brooklyn, NY', '|', u'#WeCanBe a nation that says #DrugAbuse &amp; #addiction R a medical problem not a criminal problem. #BernieSanders #FeelTheBern #MedicareforALL')
(u'Philadelphia, PA', '|', u"@tcooper9999 @FlowerInFaith You can't really believe that? And they say Bernie's supporters are delusional.")
(u'Tahlequah, OK', '|', u'@LaurenR_Sanders Their fall from the top will be that much sweeter. Just wait for it.')
(u'Cheyenne, WY', '|', u'#wycaucus yesterday! Bernie won Wyoming, yay!!! \U0001f60a #feelthebern @\u2026 https://t.co/qgAEqBPyKW')
(u'Staten Island, NY', '|', u'Bernie is keeping himself out of her Administration. #HillaryClinton #ImWithHer #ShesWithUs #Hillary #Hillary2016 https://t.co/WLQDlbS0Go')
(u'Brighton, NY', '|', u'@AlanKestrel750 No wonder Bernie lies all the time')
(u'Washington, DC', '|', u'. @John_DesMarteau @melindatentries @aravosis Why is it a "ploy" if it\'s close to a tie, &amp;  clear #polling says #Bernie is more #electable?')
(u'Fort Worth, TX', '|', u'@NizamovRus @flitedocnm Surely after 30 yrs in congress Bernie must have a list Bills he had proposed to implement these long held beliefs.')
(u'Arlington, VA', '|', u'#FeelTheBern #BernieSanders #NYPrimary #NewYorkPrimary  https://t.co/P8HrKOq4Ng')
(u'Tonawanda, NY', '|', u'@zachsquirreland Bernie easily')
(u'Brooklyn, NY', '|', u'Chicago Tribune enlightening on .@SenSanders civil rights activist https://t.co/oDtiNHHrOC')
(u'Toronto, Ontario', '|', u"@grayfactor I don't think most white liberals knew who Sanders was before this election, nor Natives, nor Arabs.")
(u'Queens, NY', '|', u'@Eliezerkraiman @cryptor_chid then why does she over 2 million more votes than Bernie?')
(u'New York, USA', '|', u'Gotta go to bed early tonight so I can get up for the Bernie rally \U0001f44c feel like a kid on Christmas Eve lol')
(u'Boston, MA', '|', u'Anyone have a good link to Sanders favorability polls over the past 2 weeks since he started going negative? Asking for a friend.')
(u'Portales, NM', '|', u"@Rengelbert11 @theRealEllelow @gftdnblk1 @vlramirez12 I've asked all day for you folks to point to one Bernie accomplishment. No takers")
(u'Weymouth, MA', '|', u"@Doughravme @RebeckaJustice She only won South 'cept for AZ (in courts) &amp; OH. Ties or Bernie wins everywhere else.")
(u'Brighton, NY', '|', u"@pookstahr @wildscenery WOW you won't vet bernie the rape KING")
(u'Oregon, USA', '|', u"Who's Politicizing Who?..The Politicization of SCOTUS https://t.co/TLEqrze3Vr @BernieForSchool @bernie4prezz @Bernie4POTUS16 @_bernie4bernie")
(u'New York, USA', '|', u"Watching old episodes of #FigureItOut and @SummerSanders_ is just so cool and funny! I bet she's still cool today #SummerSanders")
(u'Durham, NC', '|', u'@BernieSanders YES!!  No one should buy an election.')
(u'Westerville, OH', '|', u'. @berniewooster do you think we can win this one?! I do!! \U0001f609\U0001f4aa\U0001f3fd\U0001f44a\U0001f3fd #ISYMFS https://t.co/vIQqXdthxl')
(u'Bloomsburg, PA', '|', u'Refugee loving liberal PA governor Tom Wolfe loves Trump and not Bernie!!! hahahahahahaha poor Bernie  https://t.co/xUDEu2Xgn1')
(u'Illinois, USA', '|', u'@OmanReagan @Playongo Where do you get that info? There is no Bernie Movement. How is Bernie going to do this??')
(u'Georgia, USA', '|', u'@BerniesHomie @MetroUK Only half.Bad poll')
(u'Texas, USA', '|', u"@LouDobbs @realDonaldTrump @BernieSanders if they are retreating, are you sure they're afraid of what's coming courtesy of the donors?")
(u'Idaho, USA', '|', u'@Europe4Sanders Apwoyo, Europe')
(u'Oklahoma City, OK', '|', u'@nikisanders_ @caylie_mae I know I just asked her about that the other day \U0001f602')
(u'Huntley, IL', '|', u"@starfirst The only voters who should reject Bernie r those who r liberal &amp; those who aren't. Steve Chapman column: https://t.co/CagpHbqkLr")
(u'Oklahoma City, OK', '|', u'@nikisanders_ @caylie_mae but ask her how long it took her \U0001f605')
(u'New Mexico, USA', '|', u'#HillaryClinton fans, give yourself permission to vote 4 @BernieSanders. You know you want to in your heart of hearts. Dream BIG! #NYPrimary')
(u'Georgia, USA', '|', u'@bernreport What is the vote for vote count?  #FeelTheBern @BernieSanders')
(u'Penn Hills, PA', '|', u"Within 1 hour, I saw an ad from HRC, Sanders &amp; Kasich. Must be primary season in Pennsylvania. But, I'll vote for HRC on 4/26! #ImWithHer")
(u'Staten Island, NY', '|', u'#DontMindMeIAmJust sick of the nastiness &amp; ignorance of #Berniebots  #HillaryClinton #Hillary #Hillary2016 #ImWithHer #ShesWithUs #HillYes')
(u'Indiana, USA', '|', u'@SenSanders The #WholeSunCrew and 200,000+ other folks working in the solar industry are right there with you. https://t.co/96pCdmHwA1')
(u'Cranford, NJ', '|', u'@nancycordes @ManMet80 @BernieSanders @HillaryClinton YOU NO WHAT THEY SHOULD BOTH APOLOGIZE BUT WHEN ASKED TO! WHY TURN AND SAY SHE SHOULD')
(u'Georgia, USA', '|', u'https://t.co/Fsh5qv4gVn @warriors \n@BernieSanders \n@wardellcurry \n@Money23Green \n@KlayThompson \n@GEazyActivities \n@ayeshacurry')
(u'Oklahoma City, OK', '|', u'I just want to wish my big brother @BarryJSanders26 a happy birthday I hope you love being 22. Love you')
(u'Chesterfield, MO', '|', u'Every time Bernie Sanders is called a communist I laugh a little inside. Go study communism and Bernie.')
(u'Nevada, USA', '|', u'@Cajun_Manor @BeeSwarski Bernie supporters go right for the insults, unable to converse. Not impressive. https://t.co/7eERuDwB4P')
(u'Brighton, NY', '|', u"@pookstahr @wildscenery YES IT DOES COUNT IDIOT&gt; It doesn't change just cuz bernie or Devine says so. THIS IS WHAT SDels. will stick with.")
(u'Burlington, VT', '|', u"It is the #SimpleTruth that #Bernie did not have any Redacted Email's on his #ClintonMail Server https://t.co/Lq5Jz1qJvb")
(u'Georgia, USA', '|', u'@mostawesomeblog And we salute you for your service then and now! @BernieSanders This election is vital 4 survival of R democratic Republic.')
(u'New Haven, CT', '|', u'Everyone in America should read this:  Michael Cohen: Bernie\u2019s belated cross-examination https://t.co/EQ1weQJKu8')
(u'Pittsburgh, PA', '|', u'"A Jewish New Yorker who has no money, is hated by the media, wants to save the world and is married to Jane. Bernie Sanders = Peter Parker"')
(u'Kentucky, USA', '|', u'@ninaturner @BayArea4Bernie @BernieSanders we at the hillary camp welcome you after the ny election to unite')
(u'Ohio, USA', '|', u'Like I said, We gone beat he refs &amp; the @spurs Just like @BernieSanders gone beat @HillaryClinton &amp; the #Media; to make History! @warriors !')
(u'Queens, NY', '|', u"@Eliezerkraiman @cryptor_chid 2 B honest not fan of Bernie. Hillary isnt perfect but thats that's my vote. Will vote Bernie if nominee")
(u'Nevada, USA', '|', u'@Jerrytheman9 @PaganOhio @jvgraz @BernieSanders Good point.')
(u'Vernon Hills, IL', '|', u"@winstondawson @Girlchez @SenSanders he'll tax the heck out of you. https://t.co/k6phsBruuG")
(u'Linden, NJ', '|', u'Watch Young Senator Barack Obama Campaign for Bernie Sanders in 2006 by @GregJKrieg https://t.co/1pr3iagaWO via @MicNews #FeelTheBern')
(u'Bronx, NY', '|', u'Bernocchio "Bernie" Sanders voted against reauthorize the Zadroga 9/11 Health and Compensation Act. #NYPrimary Bernie is no New Yorker!')
(u'Nevada, USA', '|', u"@Jerrytheman9 @PaganOhio @jvgraz @BernieSanders Can't really claim to know")
(u'Vermont, USA', '|', u'Any chance @NewDay @Morning_Joe has courage to discuss #BernieSanders reprehensible vote to defund #Gun research? https://t.co/rdO74oPzqC')
(u'Georgia, USA', '|', u'https://t.co/ZLx9vnAhD9 @warriors. @BernieSandersCA \n@RealGEazy \n@GreenDay \n@Oakland \n@Metallica \n@sfchronicle \n@SpikeLee')
(u'Tulsa, OK', '|', u'Bernie sanders supporters and Maths https://t.co/ivSiM3pvWS')
(u'Pennsylvania, USA', '|', u'Can Bernie Sanders Upset Hillary Clinton in New York? https://t.co/i9sr5j73jV via @JohnCassidy')
(u'West Conshohocken, PA', '|', u'Holy shit you guys no one actually thinks Bernie is a saint get over yourselves')
(u'Pittsburgh, PA', '|', u'interesting take but I think Bernie Sanders as a superhero would simply be Bernie Sanders. #Notallheroeswearcapes')
(u'Kentucky, USA', '|', u'@admiralmpj @blaha_b sanders supporters are welcome to come over to hillary camp after ny and bernie concedes')
(u'North Bethesda, MD', '|', u'@KordGaming Yes, Bernie is atheist as every intelligent person should be.')
(u'New York, USA', '|', u'how many people are skipping tomorrow to see bernie lol')
(u'Burlington, VT', '|', u"It's the #SimpleTruth that the #WhichHillary thing is makes me #Swear4Bernie and say #ReleaseTheTranscripts https://t.co/TeZTP4IdaA")
(u'Hamilton, Ontario', '|', u'"Bernie is from Vermont, I\'m a superd. from Vermont, this is getting a lot of attention, but for me nothing has changed," Gosh said (1)')
(u'Chicago, IL', '|', u'@mattyglesias These are the kinds of statements that make me super ehhhhhhh about Bernie.')
(u'Kentucky, USA', '|', u'@keselowski F1 is a joke. They need to get rid of Bernie')
(u'Brooklyn, NY', '|', u'Sincerely honored to be tweeted at by the NYS bootleg Drudge Report about Sanders/Teachout https://t.co/Fu7hSKefGu')
(u'Riverside, CT', '|', u"@BernieSanders Our infrastructure is so poor we don't even know what good infrastructure looks like anymore. #LetsGetToWork #InvestInUSA")
(u'New York, USA', '|', u'We had one Bernies Protesters rush up next to me and started yelling at Donald, he was right next to me &amp; I started https://t.co/SshB4lOlX0')
(u'Texas, USA', '|', u"@katgil10 @coleswindell @LukeBryanOnline @AdamSandersLive he said it's just missing @ThomasRhett and @bretteldredge")
(u'Brighton, NY', '|', u'@pookstahr @wildscenery Theres no facts. Bernie blows up with mention that they might get tough on him Howcansome1 who cant dotaxes be pres')
(u'Philadelphia, PA', '|', u"Part of Bernie's statement being ignored (...if she is, through her Super PAC, taking tens of millions of dollars in special interest funds)")
(u'Pennsylvania, USA', '|', u"@EthanObama While I'm not voting Bernie first, socialist countries generally have higher standard of living &amp; higher life expectancy than US")
(u'Portales, NM', '|', u"@Rengelbert11 Ask Bernie's top advisor about superdelegates. AZ was a GOP fiasco")
(u'Huntington, NY', '|', u'Bernie the politician? No not Bernie!  LOL @prairielive @FaceTheNation @danbalz')
(u'Burlington, VT', '|', u'#ELECTION2016 Tell me what #SimpleTruth makes you #FeelTheBern and want to #Swear4Bernie #BernieSanders #P2 https://t.co/wkxccH1I0s')
(u'Omaha, NE', '|', u"@kaceysharon @Ashley_spry09 @Patrickesque Nah, it's not. ONLY when Saint Bernie is involved. No one else cares the reasons for absentee vote")
(u'Georgia, USA', '|', u'@LeoDiCaprio @PaulGAllen @BernieSanders @netflix  @DrBrianMay @shaq @AliciaSilv @ElleKingMusic. @OfficialSting https://t.co/9eTmv0TU2R')
(u'Hamburg, NY', '|', u'Bumper sticker tally for the weekend -\n- Sanders: 6 #FeelTheBern\n- Clinton: 4 #ImWithHer\n- Trump: 3 #MakeAmericaGreatAgain\n- Kasich/Cruz: 0')
(u'Queens, NY', '|', u'@Eliezerkraiman @cryptor_chid as an example my mother is a conservative h8s Cruz and trump says she will vote for HRC but not Bernie.')
